CAGE	StartT	EndT	Nature	Value
13	1214204400	1214204401	water	0.00001
13	1214235506	1214235545	food_fat	0.14
13	1214236328	1214236344	food_fat	0.02
13	1214237205	1214237251	food_fat	0.02
13	1214238476	1214238491	food_fat	0.04
13	1214239484	1214239533	saccharin	0.12
13	1214240978	1214241101	food_fat	0.1
13	1214241282	1214241321	food_fat	0.02
13	1214241526	1214241625	food_fat	0.06
13	1214243382	1214243482	food_fat	0.06
13	1214243488	1214243503	food_fat	0.24
13	1214243944	1214243983	water	0.04
13	1214243984	1214244007	saccharin	0.08
13	1214246196	1214246235	food_fat	0.18
13	1214248399	1214248522	food_fat	0.04
13	1214248723	1214248740	saccharin	0.02
13	1214248780	1214248898	food_fat	0.08
13	1214248905	1214248932	food_fat	0.02
13	1214249121	1214249151	food_fat	0.04
13	1214249211	1214249232	food_fat	0.2
13	1214249513	1214249576	saccharin	0.04
13	1214249752	1214249791	food_fat	0.02
13	1214251867	1214251892	water	0.02
13	1214252087	1214252188	food_fat	0.0799999999999998
13	1214253151	1214253216	food_fat	0.16
13	1214253354	1214253397	food_fat	0.0800000000000001
13	1214253415	1214253434	food_fat	0.04
13	1214253487	1214253505	water	0.02
13	1214253529	1214253551	saccharin	0.02
13	1214253561	1214253587	water	0.02
13	1214253584	1214253607	saccharin	0.04
13	1214254919	1214254934	food_fat	0.04
13	1214255173	1214255196	saccharin	0.02
13	1214255281	1214255294	water	0.02
13	1214255795	1214255837	food_fat	0.02
13	1214255941	1214255972	saccharin	0.1
13	1214256062	1214256159	food_fat	0.0399999999999998
13	1214257005	1214257051	saccharin	0.08
13	1214257213	1214257329	food_fat	0.0999999999999999
13	1214257373	1214257472	food_fat	0.0600000000000001
13	1214257527	1214257540	saccharin	0.02
13	1214257586	1214257609	food_sc	0.02
13	1214258366	1214258433	food_fat	0.0600000000000001
13	1214258437	1214258461	food_fat	0.0600000000000001
13	1214258563	1214258586	food_fat	0.0800000000000001
13	1214258594	1214258605	food_fat	0.22
13	1214259952	1214259983	saccharin	0.12
13	1214260287	1214260300	saccharin	0.0399999999999999
13	1214261303	1214261324	saccharin	0.02
13	1214262029	1214262059	saccharin	0.1
13	1214262649	1214262674	saccharin	0.0800000000000001
13	1214263635	1214263648	food_fat	0.02
13	1214263858	1214263878	saccharin	0.02
13	1214264021	1214264036	food_fat	0.02
13	1214264391	1214264471	food_fat	0.0600000000000001
13	1214265638	1214265694	food_fat	0.0600000000000001
13	1214266994	1214267049	food_fat	0.02
13	1214267118	1214267137	water	0.08
13	1214269461	1214269476	saccharin	0.04
13	1214269476	1214269560	food_fat	0.04
13	1214270265	1214270290	saccharin	0.14
13	1214270473	1214270492	food_fat	0.02
13	1214272550	1214272659	food_fat	0.0800000000000001
13	1214272674	1214272733	food_fat	0.04
13	1214272931	1214272956	saccharin	0.14
13	1214272991	1214273066	food_fat	0.02
13	1214273137	1214273218	food_fat	0.12
13	1214273567	1214273614	food_fat	0.04
13	1214276380	1214276405	water	0.04
13	1214277025	1214277089	food_fat	0.1
13	1214277097	1214277126	food_fat	0.02
13	1214281451	1214281477	food_fat	0.0600000000000001
13	1214281485	1214281527	food_fat	0.02
13	1214281536	1214281606	food_fat	0.04
13	1214282066	1214282099	water	0.06
13	1214283280	1214283292	food_fat	0.02
13	1214285173	1214285256	food_fat	0.04
13	1214285270	1214285284	food_fat	0.02
13	1214285296	1214285345	food_fat	0.0600000000000001
13	1214285351	1214285387	food_fat	0.0599999999999996
13	1214285393	1214285430	food_fat	0.0800000000000001
13	1214285678	1214285717	water	0.1
13	1214285757	1214285784	saccharin	0.04
13	1214286290	1214286303	water	0.04
13	1214287803	1214287837	water	0.08
13	1214287865	1214287885	food_fat	0.02
13	1214287943	1214287962	food_fat	0.0600000000000001
13	1214288316	1214288331	water	0.02
13	1214289175	1214289197	water	0.02
13	1214289705	1214289742	water	0.1
13	1214290039	1214290053	water	0.04
13	1214290365	1214290409	saccharin	0.12
13	1214290663	1214290681	saccharin	0.02
13	1214292691	1214292714	food_fat	0.0599999999999996
13	1214292804	1214292826	saccharin	0.0600000000000001
13	1214293499	1214293519	water	0.0600000000000001
13	1214293559	1214293574	food_fat	0.02
13	1214295425	1214295490	food_fat	0.0800000000000001
13	1214295496	1214295518	food_fat	0.24
13	1214295864	1214295894	saccharin	0.12